Riding	Candidate	Party
Ajax	"Awan, Arshad"	Conservative
Ajax	"Holland, Mark"	Liberal
Ajax	"Hughes, Monique"	NDP-New Democratic Party
Ajax	"Paulseth, Leigh"	Green Party
Algoma–Manitoulin–Kapuskasing	"Baarda, Clarence"	Christian Heritage Party
Algoma–Manitoulin–Kapuskasing	"Hughes, Carol"	NDP-New Democratic Party
Algoma–Manitoulin–Kapuskasing	"Jaaskelainen, Harry"	People's Party - PPC
Algoma–Manitoulin–Kapuskasing	"Peltier, Duke"	Liberal
Algoma–Manitoulin–Kapuskasing	"Sagman, John"	Conservative
Algoma–Manitoulin–Kapuskasing	"Zimmermann, Stephen"	Green Party
Aurora–Oak Ridges–Richmond Hill	"Alleslev, Leona"	Conservative
Aurora–Oak Ridges–Richmond Hill	"Hagan, Janice"	NDP-New Democratic Party
Aurora–Oak Ridges–Richmond Hill	"Korovitsyn, Serge"	Libertarian
Aurora–Oak Ridges–Richmond Hill	"Siskos, Anthony"	People's Party - PPC
Aurora–Oak Ridges–Richmond Hill	"Taylor Roy, Leah"	Liberal
Barrie–Innisfil	"Brancato, Corrado"	People's Party - PPC
Barrie–Innisfil	"Brassard, John"	Conservative
Barrie–Innisfil	"Gostkowski, Aleesha"	NDP-New Democratic Party
Barrie–Innisfil	"Wilson, Lisa-Marie"	Liberal
Barrie–Springwater–Oro-Medonte	"Lochhead, Sarah"	NDP-New Democratic Party
Barrie–Springwater–Oro-Medonte	"Saari, Tanya"	Liberal
Barrie–Springwater–Oro-Medonte	"Shipley, Doug"	Conservative
Barrie–Springwater–Oro-Medonte	"Webb, Chris"	People's Party - PPC
Bay Of Quinte	"Bell, Stephanie"	NDP-New Democratic Party
Bay Of Quinte	"Charlton, Erica"	Green Party
Bay Of Quinte	"Ellis, Neil"	Liberal
Bay Of Quinte	"Leclerc, Janine"	People's Party - PPC
Bay Of Quinte	"Williams, Ryan"	Conservative
Beaches–East York	"Deboer, Reuben Anthony"	Green Party
Beaches–East York	"Erskine-Smith, Nathaniel"	Liberal
Beaches–East York	"Fernandez, Philip"	Marxist-Leninist
Beaches–East York	"Moxon, Jennifer"	Communist
Beaches–East York	"Rautescu, Radu"	People's Party - PPC
Beaches–East York	"Robinson, Lisa"	Conservative
Beaches–East York	"Ruiz Vargas, Alejandra"	NDP-New Democratic Party
Beaches–East York	"Wilde, Karen Lee"	Independent
Brampton Centre	"Ali, Shafqat"	Liberal
Brampton Centre	"McDowell, Jim"	NDP-New Democratic Party
Brampton Centre	"Shino, Ronni"	Independent
Brampton Centre	"Singh, Jagdeep"	Conservative
Brampton East	"Bajaj, Naval"	Conservative
Brampton East	"Bannister-Clarke, Gail"	NDP-New Democratic Party
Brampton East	"Sidhu, Maninder"	Liberal
Brampton East	"Singh, Manjeet"	People's Party - PPC
Brampton North	"Joshi, Medha"	Conservative
Brampton North	"Sahota, Ruby"	Liberal
Brampton North	"Yeh, Teresa"	NDP-New Democratic Party
Brampton South	"Brar, Ramandeep"	Conservative
Brampton South	"Craniotis, Nicholas"	People's Party - PPC
Brampton South	"Sidhu, Sonia"	Liberal
Brampton South	"Singh, Tejinder"	NDP-New Democratic Party
Brampton West	"Chambers, Jermaine"	Conservative
Brampton West	"Gill, Gurprit"	NDP-New Democratic Party
Brampton West	"Khera, Kamal"	Liberal
Brampton West	"Ramasamy, Sivakumar"	Independent
Brampton West	"Zia, Rahul Samuel"	People's Party - PPC
Brantford–Brant	"Bory, Leslie"	Independent
Brantford–Brant	"Brock, Larry"	Conservative
Brantford–Brant	"Csordas, Karleigh"	Green Party
Brantford–Brant	"MacDonald, Alison"	Liberal
Brantford–Brant	"Roberts, Adrienne"	NDP-New Democratic Party
Brantford–Brant	"Squire, Cole"	People's Party - PPC
Brantford–Brant	"Turmel, John The Engineer"	Independent
Bruce–Grey–Owen Sound	"Fosbrooke, Anna-Marie"	People's Party - PPC
Bruce–Grey–Owen Sound	"Kaikkonen, Reima"	Independent
Bruce–Grey–Owen Sound	"Lawrence, Ashley Michelle"	Green Party
Bruce–Grey–Owen Sound	"Neudorf, Christopher"	NDP-New Democratic Party
Bruce–Grey–Owen Sound	"Ruff, Alex"	Conservative
Bruce–Grey–Owen Sound	"Watson, Anne Marie"	Liberal
Burlington	"Bator, Michael"	People's Party - PPC
Burlington	"Brown, Emily"	Conservative
Burlington	"Carroll, Jevin David"	Parti Rhinocéros Party
Burlington	"Cullis, Christian"	Green Party
Burlington	"Gould, Karina"	Liberal
Burlington	"Page, Nick"	NDP-New Democratic Party
Cambridge	"Braniff, Michele"	Green Party
Cambridge	"Bruce, Lorne"	NDP-New Democratic Party
Cambridge	"Cody, Connie"	Conservative
Cambridge	"May, Bryan"	Liberal
Cambridge	"Segounis, Maggie"	People's Party - PPC
Chatham-Kent–Leamington	"Epp, Dave"	Conservative
Chatham-Kent–Leamington	"Gelinas, Dan"	NDP-New Democratic Party
Chatham-Kent–Leamington	"Hetherington, Greg"	Liberal
Chatham-Kent–Leamington	"Vallee, Liz"	People's Party - PPC
Chatham-Kent–Leamington	"Vercouteren, Mark"	Green Party
Davenport	"Bravo, Alejandra"	NDP-New Democratic Party
Davenport	"Currie, Adrian"	Green Party
Davenport	"Dos Remedios, Tara"	People's Party - PPC
Davenport	"Dzerowicz, Julie"	Liberal
Davenport	"Kalevar, Chai"	Independent
Davenport	"Kalimbet, Jenny"	Conservative
Davenport	"Young, Troy"	Independent
Don Valley East	"Coteau, Michael"	Liberal
Don Valley East	"De Marco, Peter"	People's Party - PPC
Don Valley East	"Topp, Simon"	NDP-New Democratic Party
Don Valley East	"Williams, Penelope"	Conservative
Don Valley North	"Dong, Han"	Liberal
Don Valley North	"Griffin, Bruce"	NDP-New Democratic Party
Don Valley North	"Sobel, Jay"	People's Party - PPC
Don Valley North	"Telfer, Natalie"	Green Party
Don Valley North	"Zuniga, Sabrina"	Conservative
Don Valley West	"Caputolan, Elvira"	Green Party
Don Valley West	"Khan, Adil"	Centrist
Don Valley West	"Minas, Michael"	People's Party - PPC
Don Valley West	"Oliphant, Rob"	Liberal
Don Valley West	"Riaz, Syeda"	NDP-New Democratic Party
Don Valley West	"Robertson, Yvonne"	Conservative
Dufferin–Caledon	"Le Forestier, Jenni Michelle"	Green Party
Dufferin–Caledon	"McKendrick, Stephen"	Independent
Dufferin–Caledon	"Post, Lisa"	Liberal
Dufferin–Caledon	"Sanchez, Samantha"	NDP-New Democratic Party
Dufferin–Caledon	"Seeback, Kyle"	Conservative
Dufferin–Caledon	"Zambito, Anthony"	People's Party - PPC
Durham	"Baron, Sarah Gabrielle"	Independent
Durham	"Cameron, Chris"	NDP-New Democratic Party
